Time,Value
09-2014,0.20
10-2014,0.28
11-2014,0.98
12-2014,0.62
01-2015,0.76
02-2015,0.27
03-2015,0.98
04-2015,1.17
05-2015,0.41
06-2015,0.67
07-2015,0.69
08-2015,0.28
09-2015,0.95
10-2015,1.89
11-2015,1.52
12-2015,0.49
01-2016,1.14
02-2016,1.29
03-2016,0.51
04-2016,0.33
05-2016,0.82
06-2016,1.69
07-2016,0.18
08-2016,0.15
09-2016,0.20
10-2016,0.16
11-2016,-0.03
12-2016,0.54
01-2017,0.64
02-2017,0.08
03-2017,0.01
04-2017,-1.10
05-2017,-0.93
06-2017,-0.67
07-2017,-0.72
08-2017,0.10
09-2017,0.47
10-2017,0.20
11-2017,0.52
12-2017,0.89
01-2018,0.76
02-2018,0.07
03-2018,0.64
04-2018,0.57
05-2018,1.38
06-2018,1.87
07-2018,0.51
08-2018,0.70
09-2018,1.52
10-2018,0.89
11-2018,-0.49
12-2018,-1.08
01-2019,0.01
02-2019,0.88
03-2019,1.26
04-2019,0.92
05-2019,0.45
06-2019,0.80
07-2019,0.40
08-2019,-0.67
09-2019,-0.01
10-2019,0.68
11-2019,0.30
12-2019,2.09
01-2020,0.48
02-2020,-0.04
03-2020,1.24
04-2020,0.80
05-2020,0.28
06-2020,1.56
07-2020,2.23
08-2020,2.74
09-2020,4.34
10-2020,3.23
11-2020,3.28
12-2020,0.96
01-2021,2.58
02-2021,2.53
03-2021,2.94
04-2021,1.51
05-2021,4.10
06-2021,0.60
07-2021,0.78
08-2021,0.66
09-2021,-0.64
10-2021,0.64
11-2021,0.02
12-2021,0.87
01-2022,1.82
02-2022,1.83
03-2022,1.74
04-2022,1.41
05-2022,0.52
06-2022,0.59
07-2022,0.21
08-2022,-0.70
09-2022,-0.95
10-2022,-0.97
11-2022,-0.56
12-2022,0.45
01-2023,0.21
02-2023,-0.06
03-2023,0.05
04-2023,-0.95
05-2023,-1.84
06-2023,-1.93
07-2023,-0.72
08-2023,-0.14
09-2023,0.37
10-2023,0.50
11-2023,0.59
12-2023,0.74
01-2024,0.07
02-2024,-0.52
03-2024,-0.47
04-2024,0.31
05-2024,0.89
06-2024,0.81
07-2024,0.61
08-2024,0.29
09-2024,0.62
10-2024,1.52
11-2024,1.30
12-2024,0.94
01-2025,0.27
02-2025,1.06
